Create(Y),Label,Milestone,Severity,Title,Body
Y,bug,1.0.0 배포 준비,높음,에디터→에디터(같은 라우트) 이동 시 미저장 편집 플러시 없이 소멸,"**Severity:** 높음

**Problem:** OnParametersSetAsync가 _currentId != Id면 상태를 즉시 리셋 — HasPendingChanges 플러시도 _autoSave.Cancel()도 없음. DisposeAsync의 플러시는 다른 라우트로 나갈 때만 실행되고, 백링크 링크·브레드크럼 부모 링크는 같은 컴포넌트를 재사용. 타이핑 직후(≤1.5s) 백링크 클릭 시 경고 없이 편집분 소실. 부수 버그: (a) 리셋 후 발화하는 잔존 디바운스 타이머가 빈 content로 B에 PUT → 가짜 409 배너, (b) A의 in-flight 저장이 B 로드 후 완료되면 _serverUpdatedAt에 A의 타임스탬프가 덮여 B의 다음 저장이 409.

**Fix:** 리셋 전에 이전 Id 문맥으로 _autoSave.Cancel(); if (HasPendingChanges) await SaveCoreAsync(); 실행. in-flight 완료 콜백에 '저장 시작 시점 Id == 현재 Id' 가드 추가.

**Evidence:** NoteEditor.razor:325-337, 1070, 209, 30, 527-567"
Y,bug,1.0.0 배포 준비,중간,충돌(409) 상태에서 계속 타이핑한 내용이 저장도 드래프트도 안 됨 + Reload가 백업 없이 파기,"**Severity:** 중간

**Problem:** ScheduleAutoSave가 _hasConflict면 조기 리턴하고 DisposeAsync도 충돌 시 저장을 스킵 — 충돌 후 타이핑은 어디에도 보존되지 않음. 'Reload Latest'는 확인·백업 없이 로컬 텍스트를 서버 값으로 덮어씀. SubNoteDialog는 같은 상황에서 드래프트를 스태시해 비일관.

**Fix:** 충돌 상태에서도 DraftStore.SaveAsync 지속 갱신(SubNoteDialog 패턴), ReloadNote 진입 시 드래프트 백업 후 리로드.

**Evidence:** NoteEditor.razor:507-513, 707-721; SubNoteDialog.razor:346-349"
Y,bug,1.0.0 배포 준비,중간,DraftStore 단일 슬롯 — 다른 노트 저장 성공이 남의 드래프트를 삭제,"**Severity:** 중간

**Problem:** 드래프트 키가 vanadium.editor-draft.v1 하나뿐이고, 저장 성공 시 소유자 확인 없이 무조건 ClearAsync() 호출. A 편집 중 401 → 드래프트 스태시 → 재로그인 후 B를 먼저 열어 저장하면 A의 드래프트가 소리 없이 삭제됨. B 저장 실패 시엔 B 드래프트가 A 드래프트를 덮어씀.

**Fix:** 키를 vanadium.editor-draft.{noteId}로 노트별 분리, 또는 ClearAsync(noteId)로 소유자 일치 시에만 삭제.

**Evidence:** DraftStore.cs:15, NoteEditor.razor:569"
Y,enhancement,1.0.0 배포 준비,중간,Ctrl+S를 flush-and-stay로 (현재 저장 후 목록으로 이탈),"**Severity:** 중간

**Problem:** Ctrl+S가 SaveNote를 호출하고 SaveNote 끝에서 무조건 Nav.NavigateTo(BackUrl) — 키보드 중심 사용자가 습관적으로 Ctrl+S를 누를 때마다 에디터에서 튕겨 나감. SubNoteDialog의 Ctrl+S는 머무르는(flush-and-stay) 동작이라 같은 앱에서 단축키 의미가 화면마다 다름.

**Fix:** Ctrl+S는 즉시 플러시 후 머무르기로, 'Save & close'는 별도 버튼으로 분리.

**Evidence:** NoteEditor.razor:458, 668"
Y,bug,1.0.0 배포 준비,중간,/page 슬래시 커맨드가 새(미저장) 노트에서 무반응 — 피드백 0,"**Severity:** 중간

**Problem:** 새 노트(Id 없음)에서 /page 실행 시 if (!Id.HasValue) return null 후 slash-commands가 조용히 리턴 — /page 텍스트는 지워지고 아무 일도 일어나지 않음. 새 노트를 만들자마자 하위 페이지를 만드는 흔한 흐름에서 명령이 먹은 것처럼 사라짐.

**Fix:** 스낵바 안내('먼저 노트가 저장되어야 합니다') 또는 첫 자동저장 강제 플러시 후 하위 페이지 생성.

**Evidence:** NoteEditor.razor:828-831, slash-commands.js:151-153"
Y,bug,1.0.0 배포 준비,낮음,드래프트 복원이 타임스탬프 비교 없이 무조건 적용,"**Severity:** 낮음

**Problem:** 드래프트 복원에 스태시 시각/서버 UpdatedAt 비교가 없어, 다기기 사용 시 구본 드래프트가 최신 서버본을 덮을 수 있음(복원 후 자동저장이 방금 GET한 최신 버전으로 동시성 체크를 통과). 단일 기기에선 무해.

**Fix:** 드래프트에 스태시 시각 저장, 서버 UpdatedAt이 더 최신이면 선택지 배너 제공.

**Evidence:** NoteEditor.razor:400-407"
Y,bug,1.0.0 배포 준비,높음,Settings의 Notes List 설정(정렬·페이지 크기)이 어디에도 적용되지 않음 (무음 no-op),"**Severity:** 높음

**Problem:** Settings.razor는 DefaultSortBy/DefaultSortDir/DefaultPageSize를 편집·저장하지만 Home.razor는 하드코딩(PageSize=30, SortColumn.Date). SettingsService 소비처는 MainLayout(테마)뿐. 설정을 바꾸고 저장 성공 스낵바까지 봤는데 아무것도 변하지 않는 조용한 no-op — 설정 화면 전체의 신뢰를 무너뜨림.

**Fix:** Home 초기화 시 SettingsService.GetAsync()로 초기값 주입. 그 전까진 해당 섹션을 Settings에서 제거하는 게 차라리 정직.

**Evidence:** Settings.razor:40-83, Home.razor:274-280"
Y,bug,1.0.0 배포 준비,중간,Ctrl+N은 Chromium 예약 단축키라 절대 동작 안 함 — 도움말에는 표시됨,"**Severity:** 중간

**Problem:** Chromium 계열은 Ctrl+N/T/W를 웹 콘텐츠에 전달하지 않아 preventDefault가 실행될 기회 자체가 없음 — 새 브라우저 창만 뜸. Ctrl+/ 도움말에 'New note'로 표시되어 사용자는 앱 버그로 인식.

**Fix:** alt+n 등 비예약 키로 교체.

**Evidence:** MainLayout.razor:93, keyboard-shortcuts.js:41"
Y,enhancement,1.0.0 배포 준비,낮음,검색/필터/페이지 변경 시 트리 확장 상태 보존,"**Severity:** 낮음

**Problem:** LoadNotes 공통 경로에서 expandedNoteIds.Clear() + childrenCache.Clear() — 검색·필터·페이지 이동마다 확장 상태가 전부 리셋되어 탐색 맥락 상실.

**Fix:** 캐시는 유지하고 결과에 존재하는 노트의 확장 상태는 보존.

**Evidence:** Home.razor:356-357"
Y,bug,1.0.0 배포 준비,중간,보드 카드 이동을 add 단일 호출로 원자화 (remove→add 중간 실패 시 노트 소실 체감),"**Severity:** 중간

**Problem:** 카드 이동이 remove→add 2단계 — remove 성공 후 add 실패 시 노트가 라벨을 잃고 어느 컬럼에서도 사라짐. 서버가 카테고리 내 상호배제를 강제하므로 add 한 번이면 원자적으로 끝남에도 클라이언트가 이를 활용하지 않아 불필요한 실패 모드를 만듦.

**Fix:** remove 호출 삭제, AddLabelToNoteAsync 단일 호출로 교체.

**Evidence:** Board.razor:282-286"
Y,enhancement,1.0.0 배포 준비,중간,보드에 미분류(라벨 없음) 노트 가시화,"**Severity:** 중간

**Problem:** 선택 카테고리 라벨이 없는 노트는 보드에서 완전 비가시 — '미분류' 컬럼도 카운트 힌트도 없음. 카드 이동 실패와 결합하면 '노트가 사라졌다'로 체감.

**Fix:** 'No label' 가상 컬럼 또는 '이 카테고리 라벨이 없는 노트 N개' 힌트 표시.

**Evidence:** Board.razor:308-311"
Y,enhancement,1.0.0 배포 준비,중간,보드 터치 대응 (HTML5 DnD는 터치 미발동),"**Severity:** 중간

**Problem:** HTML5 dragstart/dragover/drop만 등록되어 터치에서 카드 이동 불가 — 모바일에서 보드는 읽기 전용이 됨.

**Fix:** 터치 폴백으로 카드에 '라벨 이동' 컨텍스트 메뉴 제공(터치 DnD 라이브러리보다 저비용).

**Evidence:** board-drag-drop.js:106-112"
Y,bug,1.0.0 배포 준비,중간,공유 페이지에서 접힌 Toggle/Accordion을 펼칠 수 없음,"**Severity:** 중간

**Problem:** 공유 콘텐츠는 (MarkupString) 원시 덤프라 Tiptap 노드뷰(토글 화살표 버튼)가 없음. data-open=""false""인 본문은 익명 뷰어가 영원히 읽을 수 없거나, CSS 스코프에 따라 화살표 없이 전부 펼쳐짐 — 어느 쪽이든 저하.

**Fix:** 공유 페이지 전용 소형 JS로 [data-type=toggle]에 클릭 토글 부착, 또는 공유 응답 조립 시 data-open=""true""로 정규화.

**Evidence:** Share.razor:30, toggle.js:74-96"
Y,enhancement,1.0.0 배포 준비,낮음,공유 페이지 코드 블록 구문 강조,"**Severity:** 낮음

**Problem:** lowlight 강조는 에디터 런타임 데코레이션이라 저장 HTML에는 class=""language-x""뿐 — 공유 뷰는 무강조 <pre>. 개발자 대상 공유에서 체감 큼.

**Fix:** 공유 페이지에서만 highlight.js 지연 로드.

**Evidence:** Share.razor, code-block.js"
