Create(Y),Label,Milestone,Title,Body
Y,bug,1.0.0 배포 준비,노트 생성 시 오버포스팅으로 보이지 않는 purge 대상 노트 생성,"**문제 (Problem)**
NotesController.Create가 NoteItem을 직접 바인딩. body에 deletedAt/archivedAt을 넣으면 IsDeletionRoot=false로 soft-delete된 노트 생성 — 휴지통에도 안 보이고 복원 불가, RecycleBinPurgeJob이 조용히 영구 삭제.

**수정 (Fix)**
NoteService.Create에서 상태 필드 강제 초기화: DeletedAt=null; IsDeletionRoot=false; ArchivedAt=null; IsArchiveRoot=false. 서버 소유 필드도 null 처리."
Y,bug,1.0.0 배포 준비,서버 사이드 HTML 새니타이징 부재 → PAT-세션 권한 상승,"**문제 (Problem)**
노트 HTML이 그대로 저장. 유출된 API 토큰이 <script>를 심으면 소유자 브라우저에서 실행 → localStorage JWT 탈취 → DELETE /api/settings/all-data 도달.

**수정 (Fix)**
Ganss.Xss(HtmlSanitizer) 추가. 중앙 IHtmlSanitizerService. Create/Update에서 새니타이즈. 허용목록은 Tiptap 스키마 미러링 — data-type/data-* 절대 제거 금지."
Y,bug,1.0.0 배포 준비,tiptap-editor.js의 innerHTML XSS 싱크,"**문제 (Problem)**
멘션 메뉴(line 480, 노트 제목 보간), 업로드 토스트(line 1453, 파일명), Mermaid 에러(line ~700)에서 innerHTML 사용. 제목이 <img src=x onerror=...>면 실행.

**수정 (Fix)**
사용자 유래 문자열을 textContent/createElement로 교체(~15줄)."
Y,bug,1.0.0 배포 준비,SubNoteDialog가 마지막 1.5초 편집분을 조용히 폐기,"**문제 (Problem)**
Close()/Dispose()가 debounce CTS를 flush 없이 취소. 버튼/Esc/백드롭으로 닫으면 대기 내용 유실되는데 상태는 Unsaved changes로 남음.

**수정 (Fix)**
저장 대기 시 Close()에서 await DoAutoSave() 후 CTS 취소. flush 완료 후에만 상태 해제."
Y,bug,1.0.0 배포 준비,Ctrl+K 이중 바인딩 — 링크 팝오버와 퀵내브 동시 발동,"**문제 (Problem)**
tiptap-editor.js:1768이 Ctrl/Cmd+K에서 preventDefault만 하고 stopPropagation 없이 링크 팝오버 오픈 → 전역 핸들러로 버블 → 퀵내브 밑에 링크 팝오버.

**수정 (Fix)**
에디터 리스너에 e.stopPropagation() 추가. 링크를 Ctrl+Shift+K로 이동 검토."
Y,bug,1.0.0 배포 준비,오펀 파일 정리가 방금 업로드한 파일을 삭제,"**문제 (Problem)**
DeleteAllOrphansAsync가 유예 기간 없이 미참조 파일을 오펀 처리. 아직 저장 안 된 파일(자동 저장 1500ms, 작성 중)이 스캔되면 삭제. UploadedAt 미참조.

**수정 (Fix)**
~1h 유예 창 도입. UploadedAt/CreationTimeUtc가 창 내인 파일 스킵. 설정 가능(FileCleanup:GraceMinutes, 기본 60)."
Y,bug,1.0.0 배포 준비,컨테이너 재생성 시 업로드 파일 유실,"**문제 (Problem)**
UploadsPath가 컨테이너 파일시스템에 있고 rest 서비스에 볼륨 정의 없음. 이미지 업데이트마다 업로드 파일 파괴, FileAttachments 행은 생존(404).

**수정 (Fix)**
/app/uploads 네임드 볼륨 추가. Dockerfile 비루트 USER, 베이스 이미지 태그 고정, :latest 제거."
Y,bug,1.0.0 배포 준비,탭 닫기 시 미저장 변경 보호 부재,"**문제 (Problem)**
앱 JS에 beforeunload 핸들러 없음. NoteEditor.DisposeAsync는 앱 내 내비게이션만 커버, debounce 창에서 탭 닫으면 데이터 유실.

**수정 (Fix)**
_hasPendingChanges가 true인 동안 beforeunload 등록/해제."
Y,enhancement,1.0.0 배포 준비,JwtSecret 시작 시 미검증,"**문제 (Problem)**
빈 문자열 기본값이 null 체크를 통과하고 나중에 불투명 에러로 실패. 짧은 시크릿은 HS256 약화.

**수정 (Fix)**
시작 시 Length>=32 검증, 빈 값/짧은 값 fail-fast."
Y,enhancement,1.0.0 배포 준비,PBKDF2 100k 반복은 OWASP 권고(600k) 미달,"**문제 (Problem)**
반복 상향은 재해싱 필요.

**수정 (Fix)**
저장 포맷에 반복 횟수 인코딩(salt:hash:iterations)하여 향후 상향 가능하게."
